iter	Logloss
0	0.6805411756
1	0.6678558252
2	0.6576069799
3	0.6468192102
4	0.6371696447
5	0.6288387897
6	0.6195455471
7	0.6112564841
8	0.6036791514
9	0.5946332797
10	0.5858668675
11	0.5787902329
12	0.5712007843
13	0.5645507135
14	0.5589707489
15	0.5531857303
16	0.5472137311
17	0.541584504
18	0.5357537169
19	0.5299253623
20	0.5235794125
21	0.5190430166
22	0.5138101755
23	0.5101592527
24	0.5043844403
25	0.5018054788
26	0.4998473842
27	0.4946151119
28	0.4912049163
29	0.4871672994
30	0.4825950288
31	0.4783178771
32	0.4762236016
33	0.4729451592
34	0.4705079066
35	0.4683982884
36	0.4640863209
37	0.4615489206
38	0.4597968997
39	0.4584849916
40	0.45621627
41	0.4534429546
42	0.4510029381
43	0.4489725679
44	0.4463078053
45	0.4434930199
46	0.4417672817
47	0.4407283919
48	0.4383235678
49	0.4354228682
50	0.4328126735
51	0.430240133
52	0.4291718765
53	0.4270398881
54	0.4248290645
55	0.4227428081
56	0.4218450237
57	0.4194883614
58	0.4171874647
59	0.4155384977
60	0.4143587671
61	0.4131432687
62	0.4111702634
63	0.4099569484
64	0.4086795535
65	0.4073374023
66	0.4061800168
67	0.4048883662
68	0.4039896848
69	0.4025519607
70	0.401468316
71	0.3999217723
72	0.3981117371
73	0.3967458489
74	0.3951864781
75	0.3946142771
76	0.3928546327
77	0.3919047793
78	0.3908243616
79	0.3906560366
80	0.389558325
81	0.3884845386
82	0.3862643962
83	0.3856192628
84	0.3844769094
85	0.3832791484
86	0.3817214787
87	0.3810161092
88	0.3807395216
89	0.3799092493
90	0.3791561426
91	0.3781819533
92	0.3778039114
93	0.3767901425
94	0.3764538126
95	0.3758207836
96	0.3746734588
97	0.3737831217
98	0.3725653934
99	0.3723604805
100	0.371614098
101	0.3713290965
102	0.3706280463
103	0.3699013123
104	0.3698500137
105	0.3690838682
106	0.3681667369
107	0.3674819684
108	0.3670709151
109	0.3658240612
110	0.3648756248
111	0.3644315799
112	0.3636843815
113	0.3634625016
114	0.3627216501
115	0.3614162486
116	0.3607979774
117	0.3603137983
118	0.3592765483
119	0.3586136838
120	0.3581561219
121	0.3572228439
122	0.3569078833
123	0.3556056642
124	0.3547151087
125	0.3538466859
126	0.3537957082
127	0.3534213869
128	0.3529781206
129	0.3524545565
130	0.3518788001
131	0.3506597727
132	0.3504025722
133	0.3500401792
134	0.3494919054
135	0.3489276909
136	0.3484263192
137	0.3475365956
138	0.3469358482
139	0.3463331554
140	0.3459974532
141	0.3451301239
142	0.3447390986
143	0.3441012187
144	0.3434845153
145	0.3434131729
146	0.3419070198
147	0.3416893979
148	0.3416884702
149	0.3410404494
150	0.3403162517
151	0.340173596
152	0.3394748937
153	0.3391146982
154	0.3381681291
155	0.3375709722
156	0.3370220345
157	0.3366407864
158	0.3364725391
159	0.3357154318
160	0.3350635721
161	0.3350333024
162	0.3344918104
163	0.3338634325
164	0.3332284764
165	0.3322156852
166	0.3317703402
167	0.3317700175
168	0.3313601897
169	0.3312350053
170	0.3305162261
171	0.3300711695
172	0.3295338496
173	0.3286568178
174	0.3283758171
175	0.3281417899
176	0.3273157174
177	0.3270924891
178	0.3266590757
179	0.3253460905
180	0.3248291857
181	0.324160419
182	0.3236466212
183	0.3229648324
184	0.3227194396
185	0.321905326
186	0.3215239756
187	0.3214971009
188	0.3209616446
189	0.3208450269
190	0.3204827652
191	0.3200464668
192	0.3194636457
193	0.3194258225
194	0.3189597867
195	0.3188014837
196	0.3185660639
197	0.3182469378
198	0.3176257024
199	0.3172376823
200	0.3171729018
201	0.3167842151
202	0.3164296911
203	0.3160640804
204	0.3158125189
205	0.3155403699
206	0.3152203125
207	0.3149532867
208	0.3144757647
209	0.3142473727
210	0.3139027721
211	0.3132429054
212	0.3127038237
213	0.3117998597
214	0.3109904202
215	0.3109675671
216	0.3103811336
217	0.3099199503
218	0.3093350245
