iter	Passed	Remaining
0	2	2149
1	4	2149
2	7	2136
3	8	1976
4	10	1902
5	12	1871
6	14	1787
7	17	1976
8	19	1929
9	21	1897
10	22	1829
11	24	1792
12	26	1783
13	27	1768
14	29	1737
15	31	1715
16	32	1710
17	34	1711
18	36	1696
19	38	1677
20	40	1681
21	42	1684
22	44	1690
23	45	1664
24	46	1642
25	48	1641
26	50	1629
27	52	1628
28	54	1622
29	55	1617
30	57	1606
31	58	1599
32	60	1590
33	62	1585
34	63	1581
35	65	1579
36	67	1574
37	68	1560
38	70	1553
39	72	1548
40	74	1557
41	76	1560
42	78	1563
43	80	1567
44	82	1568
45	84	1570
46	86	1565
47	88	1567
48	90	1567
49	91	1560
50	93	1563
51	95	1565
52	97	1563
53	99	1557
54	100	1550
55	102	1545
56	104	1540
57	106	1539
58	107	1531
59	109	1529
60	111	1528
61	112	1525
62	114	1521
63	116	1515
64	117	1511
65	119	1504
66	120	1494
67	121	1488
68	123	1489
69	125	1484
70	126	1476
71	127	1468
72	130	1472
73	131	1465
74	132	1460
75	134	1458
76	136	1456
77	138	1459
78	140	1458
79	141	1453
80	143	1451
81	145	1446
82	146	1442
83	148	1441
84	150	1440
85	152	1439
86	153	1433
87	154	1427
88	156	1422
89	157	1417
90	159	1418
91	161	1418
92	163	1418
93	165	1418
94	167	1419
95	169	1419
96	171	1418
97	173	1419
98	175	1420
99	177	1423
100	179	1422
101	181	1421
102	183	1421
103	185	1419
104	186	1413
105	188	1408
106	189	1406
107	191	1404
108	193	1407
109	196	1408
110	197	1403
111	199	1400
112	200	1396
113	201	1391
114	203	1390
115	205	1387
116	207	1387
117	209	1386
118	210	1382
119	211	1376
120	213	1372
121	215	1373
122	217	1373
123	219	1371
124	220	1368
125	223	1370
126	224	1364
127	226	1367
128	228	1366
129	230	1367
130	232	1367
131	234	1365
132	236	1365
133	239	1368
134	241	1368
135	243	1365
136	245	1366
137	247	1367
138	249	1366
139	251	1363
140	252	1359
141	254	1357
142	256	1358
143	258	1357
144	260	1356
145	262	1355
146	264	1355
147	266	1353
148	268	1353
149	270	1351
150	272	1351
151	273	1346
152	275	1343
153	277	1344
154	280	1346
155	282	1344
156	282	1339
157	284	1336
158	286	1334
159	288	1335
160	290	1334
161	292	1333
162	294	1332
163	296	1331
164	298	1330
165	300	1329
166	302	1329
167	305	1328
168	306	1326
169	309	1328
170	312	1330
171	314	1331
172	316	1330
173	319	1332
174	322	1337
175	324	1336
176	327	1336
177	328	1333
178	330	1332
179	332	1330
180	334	1329
181	337	1330
182	339	1329
183	341	1329
184	343	1329
185	346	1328
186	348	1327
187	350	1326
188	352	1324
189	354	1323
190	355	1320
191	357	1319
192	359	1318
193	362	1317
194	363	1315
195	365	1313
196	367	1311
197	369	1310
198	371	1308
199	373	1307
200	375	1305
201	377	1303
202	379	1301
203	380	1299
204	382	1296
205	384	1295
206	386	1294
207	388	1293
208	390	1290
209	392	1289
210	394	1286
211	396	1285
212	398	1283
213	400	1283
214	402	1281
215	404	1279
216	406	1277
217	408	1276
218	409	1274
219	411	1272
220	413	1270
221	415	1269
222	417	1268
223	419	1267
224	421	1264
225	423	1263
226	425	1261
227	427	1259
228	428	1256
229	430	1255
230	433	1254
231	435	1252
232	437	1251
233	439	1250
234	441	1249
235	443	1247
236	445	1245
237	447	1243
238	449	1243
239	451	1242
240	453	1241
241	455	1239
242	457	1237
243	459	1235
244	461	1233
245	462	1230
246	464	1228
247	466	1227
248	469	1226
249	470	1223
250	472	1222
251	474	1220
252	476	1218
253	478	1216
254	480	1215
255	482	1212
256	484	1211
257	485	1208
258	487	1206
259	489	1204
260	491	1202
261	492	1200
262	494	1198
263	496	1196
264	498	1194
265	500	1192
266	502	1190
267	503	1187
268	505	1185
269	506	1182
270	508	1180
271	510	1178
272	512	1177
273	514	1174
274	515	1172
275	517	1170
276	519	1167
277	521	1166
278	523	1164
279	525	1162
280	526	1160
281	528	1158
282	530	1156
283	531	1153
284	533	1151
285	535	1148
286	536	1146
287	538	1144
288	540	1142
289	542	1140
290	543	1138
291	545	1135
292	547	1133
293	549	1131
294	550	1129
295	552	1127
296	554	1125
297	556	1123
298	557	1121
299	559	1119
300	561	1117
301	563	1114
302	564	1112
303	566	1111
304	568	1109
305	570	1107
306	571	1104
307	573	1102
308	575	1100
309	576	1097
310	578	1095
311	581	1095
312	582	1093
313	585	1091
314	586	1089
315	588	1088
316	590	1085
317	592	1083
318	594	1082
319	596	1080
320	597	1078
321	599	1076
322	601	1074
323	604	1073
324	605	1071
325	607	1069
326	609	1067
327	611	1065
328	612	1063
329	614	1061
330	616	1058
331	618	1057
332	620	1056
333	622	1054
334	624	1052
335	626	1051
336	628	1049
337	629	1047
338	631	1045
339	633	1043
340	635	1041
341	637	1039
342	639	1037
343	640	1035
344	642	1034
345	644	1032
346	646	1030
347	648	1027
348	649	1025
349	651	1023
350	653	1021
351	655	1020
352	657	1018
353	659	1016
354	661	1014
355	662	1012
356	664	1010
357	666	1008
358	667	1006
359	669	1004
360	671	1002
361	673	1000
362	675	998
363	677	997
364	679	995
365	680	993
366	682	991
367	684	989
368	686	987
369	688	986
370	690	984
371	692	982
372	694	980
373	696	979
374	697	976
375	699	975
376	701	973
377	703	971
378	704	968
379	706	967
380	708	965
381	710	963
382	712	961
383	714	959
384	716	957
385	717	955
386	719	953
387	721	951
388	723	950
389	725	948
390	726	946
391	728	944
392	730	942
393	733	941
394	734	939
395	736	937
396	738	936
397	741	934
398	742	932
399	744	930
400	746	929
401	748	927
402	750	925
403	752	924
404	754	922
405	756	920
406	758	918
407	760	916
408	761	914
409	763	912
410	766	911
411	768	910
412	770	908
413	772	906
414	775	905
415	777	904
416	779	902
417	781	901
418	783	898
419	784	896
420	787	895
421	789	893
422	790	891
423	792	889
424	794	887
425	796	886
426	798	884
427	800	882
428	801	880
429	803	878
430	805	876
431	807	874
432	809	872
433	810	870
434	812	868
435	814	866
436	816	864
437	817	862
438	819	860
439	821	859
440	824	857
441	825	855
442	827	853
443	829	852
444	830	849
445	832	847
446	834	846
447	836	843
448	838	842
449	839	839
450	841	837
451	843	835
452	845	834
453	847	832
454	848	830
455	850	828
456	852	826
457	854	824
458	856	822
459	858	820
460	860	819
461	861	816
462	863	815
463	864	812
464	866	810
465	868	809
466	871	807
467	873	805
468	874	804
469	876	802
470	878	800
471	880	798
472	882	796
473	884	794
474	885	792
475	887	790
476	889	788
477	891	786
478	892	784
479	894	782
480	896	780
481	898	778
482	899	776
483	901	775
484	903	773
485	905	771
486	907	769
487	908	767
488	910	765
489	912	763
490	913	761
491	915	759
492	917	757
493	919	755
494	921	754
495	923	752
496	925	750
497	927	748
498	929	746
499	930	744
500	932	742
501	934	740
502	936	738
503	937	736
504	939	734
505	941	732
506	942	730
507	944	728
508	946	726
509	948	725
510	950	723
511	951	721
512	953	719
513	955	717
514	957	715
515	959	713
516	961	712
517	963	710
518	965	708
519	968	707
520	970	705
521	972	704
522	974	702
523	976	700
524	978	698
525	980	697
526	982	695
527	985	694
528	987	692
529	989	690
530	991	689
531	993	687
532	995	685
533	997	683
534	999	681
535	1001	679
536	1002	677
537	1004	676
538	1006	674
539	1008	672
540	1010	670
541	1012	668
542	1014	666
543	1015	664
544	1017	662
545	1019	660
546	1021	659
547	1023	657
548	1025	655
549	1027	653
550	1029	651
551	1031	650
552	1033	648
553	1035	646
554	1037	644
555	1039	643
556	1041	641
557	1044	640
558	1046	638
559	1048	636
560	1051	635
561	1053	633
562	1055	631
563	1058	630
564	1060	628
565	1062	626
566	1064	625
567	1066	623
568	1069	622
569	1071	620
570	1073	618
571	1075	616
572	1076	614
573	1079	612
574	1080	610
575	1082	609
576	1084	607
577	1086	605
578	1088	603
579	1090	601
580	1092	599
581	1093	597
582	1095	595
583	1097	593
584	1099	592
585	1101	590
586	1103	588
587	1104	586
588	1106	584
589	1108	582
590	1110	580
591	1111	578
592	1113	576
593	1115	574
594	1117	572
595	1119	570
596	1121	568
597	1122	566
598	1124	564
599	1126	563
600	1127	561
601	1129	559
602	1131	557
603	1132	555
604	1134	553
605	1136	551
606	1138	549
607	1140	547
608	1142	545
609	1144	544
610	1145	541
611	1147	540
612	1149	538
613	1151	536
614	1152	534
615	1155	532
616	1156	530
617	1159	528
618	1160	526
619	1162	525
620	1164	523
621	1166	521
622	1168	519
623	1170	517
624	1171	515
625	1173	513
626	1175	511
627	1177	510
628	1179	508
629	1180	505
630	1182	503
631	1184	502
632	1186	500
633	1187	498
634	1189	496
635	1191	494
636	1193	492
637	1195	490
638	1197	489
639	1199	487
640	1201	485
641	1202	483
642	1204	481
643	1207	479
644	1208	477
645	1210	476
646	1212	474
647	1214	472
648	1216	470
649	1218	468
650	1219	466
651	1221	464
652	1223	462
653	1225	460
654	1226	458
655	1229	457
656	1231	455
657	1233	453
658	1234	451
659	1236	449
660	1238	447
661	1240	445
662	1242	444
663	1244	442
664	1246	440
665	1248	438
666	1250	436
667	1252	435
668	1255	433
669	1257	431
670	1259	429
671	1261	427
672	1262	425
673	1264	424
674	1266	422
675	1268	420
676	1270	418
677	1272	416
678	1274	414
679	1276	412
680	1277	410
681	1279	409
682	1281	407
683	1282	405
684	1284	403
685	1286	401
686	1288	399
687	1290	397
688	1292	395
689	1294	394
690	1296	392
691	1298	390
692	1300	388
693	1301	386
694	1303	384
695	1305	382
696	1307	380
697	1309	378
698	1310	376
699	1312	375
700	1314	373
701	1316	371
702	1318	369
703	1320	367
